run_id,design_id,manifest_row,model_id,provider,benchmark_id,item_id,native_metric,ok,answer,answer_key,exact_match,native_score,confidence,validation_errors
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,0,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q001,eqbench_v2_fullscale_score,True,Remorseful: 1; Indifferent: 2; Affectionate: 3; Annoyed: 8,"{""Affectionate"": 0, ""Annoyed"": 7, ""Indifferent"": 6, ""Remorseful"": 0}",False,6.186468,88,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,1,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q002,eqbench_v2_fullscale_score,True,Sympathetic: 1; Incredulous: 8; Intimidated: 2; Defensive: 8,"{""Defensive"": 7, ""Incredulous"": 8, ""Intimidated"": 3, ""Sympathetic"": 0}",False,9.612212,91,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,2,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q003,eqbench_v2_fullscale_score,True,Hopeful: 1; Threatened: 9; Pity: 2; Defiant: 9,"{""Defiant"": 9, ""Hopeful"": 0, ""Pity"": 0, ""Threatened"": 8}",False,9.337251,93,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,3,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q004,eqbench_v2_fullscale_score,True,Defensive: 7; Empathy: 2; Fear: 0; Condescension: 4,"{""Condescension"": 5, ""Defensive"": 7, ""Empathy"": 0, ""Fear"": 0}",False,9.466514,84,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,4,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q005,eqbench_v2_fullscale_score,True,Angry: 7; Insecure: 8; Confident: 3; Indifferent: 0,"{""Angry"": 7, ""Confident"": 3, ""Indifferent"": 0, ""Insecure"": 5}",False,8.875019,88,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,5,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q006,eqbench_v2_fullscale_score,True,Offended: 6; Unperturbed: 4; Amused: 3; Guilt: 0,"{""Amused"": 6, ""Guilt"": 0, ""Offended"": 4, ""Unperturbed"": 7}",False,7.345814,74,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,6,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q007,eqbench_v2_fullscale_score,True,Intimidated: 1; Respect: 4; Disbelief: 3; Arrogant: 8,"{""Arrogant"": 4, ""Disbelief"": 3, ""Intimidated"": 0, ""Respect"": 0}",False,5.010687,86,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,7,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q008,eqbench_v2_fullscale_score,True,Relief: 0; Resentment: 4; Surprise: 3; Frustration: 8,"{""Frustration"": 8, ""Relief"": 0, ""Resentment"": 3, ""Surprise"": 2}",False,9.741475,88,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,8,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q009,eqbench_v2_fullscale_score,True,Embarrassment: 6; Anger: 7; Indifference: 0; Defensiveness: 8,"{""Anger"": 3, ""Defensiveness"": 7, ""Embarrassment"": 4, ""Indifference"": 0}",False,7.036489,86,
icicic2026_external_mini_comparison_v1,icicic2026_external_mini_comparison_v1,9,openai/gpt-5.4,openrouter,eq_bench_v2,eqbench_v2_q010,eqbench_v2_fullscale_score,True,Liberated: 1; Offended: 8; Uninterested: 2; Defensive: 9,"{""Defensive"": 9, ""Liberated"": 0, ""Offended"": 7, ""Uninterested"": 0}",False,9.337251,94,
