run_id,stage,design_id,manifest_row,model_id,story_id,condition_id,persona_id,persona_label,temperature,temperature_label,repetition,emotion,score,ok,response_ok,membership_family,membership_hmax,mu_low,mu_medium,mu_high,H_raw,H_norm
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,interest,74,True,True,legacy_linear_v1,1.057697511124,0.0,0.0,0.48,0.508268970746,0.480542844623
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,interest,74,True,True,sigmoid_s_v1,1.018502773018,0.0,0.0,0.44661146347,0.519367960088,0.509932789431
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,surprise,61,True,True,legacy_linear_v1,1.057697511124,0.0,0.45,0.22,0.998974797701,0.944480616806
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,surprise,61,True,True,sigmoid_s_v1,1.018502773018,0.0,0.372577229944,0.049693973718,0.745908684439,0.732358030041
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,sadness,8,True,True,legacy_linear_v1,1.057697511124,0.733333333333,0.0,0.0,0.328136583112,0.31023669779
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,sadness,8,True,True,sigmoid_s_v1,1.018502773018,0.915968013582,0.0,0.0,0.115989831838,0.113882686342
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,anger,6,True,True,legacy_linear_v1,1.057697511124,0.8,0.0,0.0,0.25754247591,0.243493506604
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,0,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,1,anger,6,True,True,sigmoid_s_v1,1.018502773018,0.961430606081,0.0,0.0,0.054556729778,0.053565617319
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,1,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,2,interest,72,True,True,legacy_linear_v1,1.057697511124,0.0,0.0,0.44,0.5211468113,0.492718197613
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,1,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,2,interest,72,True,True,sigmoid_s_v1,1.018502773018,0.0,0.0,0.349578648606,0.53006995849,0.520440368482
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,1,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,2,surprise,58,True,True,legacy_linear_v1,1.057697511124,0.0,0.6,0.16,0.865196346864,0.817999794615
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,1,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,2,surprise,58,True,True,sigmoid_s_v1,1.018502773018,0.0,0.733781281805,0.021686756312,0.447554182208,0.439423626587
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,1,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,2,sadness,8,True,True,legacy_linear_v1,1.057697511124,0.733333333333,0.0,0.0,0.328136583112,0.31023669779
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,1,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,2,sadness,8,True,True,sigmoid_s_v1,1.018502773018,0.915968013582,0.0,0.0,0.115989831838,0.113882686342
scis2026_factorial_v1_pilot_manifest_v1,pilot,scis2026_factorial_v1,1,openai/gpt-5.4,T1,C01,p1,college_freshman,0.1,t01,2,anger,6,True,True,legacy_linear_v1,1.057697511124,0.8,0.0,0.0,0.25754247591,0.243493506604
