run_id,stage,design_id,manifest_row,model_id,provider,language,story_id,target_mode,target_label,persona_id,temperature,repetition,emotion,score,reason,ok,response_ok,validation_errors,membership_family,membership_hmax,mu_low,mu_medium,mu_high,H_raw,H_norm
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,0,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,1,interest,71,"The brief fable-like dialogue is witty and intellectually satisfying, ending in a neat moral reversal.",True,True,,sigmoid_s_v1,1.018502773018,0.0,0.0,0.306163224136,0.522812617331,0.513314868826
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,0,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,1,surprise,58,"The mouse mocks the watch, but the watch’s sharp reply unexpectedly turns the accusation back on the mouse.",True,True,,sigmoid_s_v1,1.018502773018,0.0,0.733781281805,0.021686756312,0.447554182208,0.439423626587
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,0,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,1,sadness,10,There is little tragedy; the watch’s isolation behind the drawers adds only a faintly forlorn note.,True,True,,sigmoid_s_v1,1.018502773018,0.84226552755,0.0,0.0,0.208589563261,0.204800191798
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,0,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,1,anger,6,"The mouse’s sneering judgment may cause slight displeasure, but the tone is mostly light and corrective.",True,True,,sigmoid_s_v1,1.018502773018,0.961430606081,0.0,0.0,0.054556729778,0.053565617319
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,1,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,2,interest,66,"The brief fable is witty and intellectually pleasing, ending in a compact moral reversal.",True,True,,sigmoid_s_v1,1.018502773018,0.0,0.038569393919,0.140388802782,0.578788605629,0.568273961507
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,1,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,2,surprise,58,"The mouse’s mockery is neatly overturned by the watch’s reply, giving a modest but clear twist.",True,True,,sigmoid_s_v1,1.018502773018,0.0,0.733781281805,0.021686756312,0.447554182208,0.439423626587
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,1,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,2,sadness,18,"There is little real pathos, though the lonely image of the watch ticking unseen adds a faint melancholy.",True,True,,sigmoid_s_v1,1.018502773018,0.266218718195,0.266218718195,0.0,1.016591360091,0.998123311023
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,1,openai/gpt-5.4,openrouter,en,T1,reader_side,reader-side post-reading affect,p0,0.4,2,anger,9,"The text is mildly admonishing toward hypocrisy or laziness, but it provokes little actual indignation.",True,True,,sigmoid_s_v1,1.018502773018,0.883104342575,0.0,0.0,0.158379629755,0.155502404069
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,2,openai/gpt-5.4,openrouter,en,T1,character_side,inferred character-side affect,p0,0.4,1,interest,62,"The speaker’s implied stance centers on a witty moral exchange, making the moment mildly engaging and satisfying.",True,True,,sigmoid_s_v1,1.018502773018,0.0,0.266218718195,0.062880546779,0.759267186193,0.745473852705
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,2,openai/gpt-5.4,openrouter,en,T1,character_side,inferred character-side affect,p0,0.4,1,surprise,48,"The central character likely experiences some novelty in being mocked by a mouse, then calmly overturning the insult with a sharp reply.",True,True,,sigmoid_s_v1,1.018502773018,0.0,1.0,0.0,0.0,0.0
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,2,openai/gpt-5.4,openrouter,en,T1,character_side,inferred character-side affect,p0,0.4,1,sadness,12,"The watch seems isolated behind the drawers, but it shows steadiness rather than grief, so sadness is low.",True,True,,sigmoid_s_v1,1.018502773018,0.733781281805,0.006923302608,0.0,0.377360586509,0.370505212657
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,2,openai/gpt-5.4,openrouter,en,T1,character_side,inferred character-side affect,p0,0.4,1,anger,6,"The watch answers composedly instead of resentfully, suggesting only slight displeasure at being called a fool.",True,True,,sigmoid_s_v1,1.018502773018,0.961430606081,0.0,0.0,0.054556729778,0.053565617319
icicic2026_benchmark_positioning_v1_stable6_sanity,sanity,icicic2026_benchmark_positioning_v1,3,openai/gpt-5.4,openrouter,en,T1,character_side,inferred character-side affect,p0,0.4,2,interest,58,The watch’s witty moral reply suggests mild intellectual satisfaction and quiet amusement for the central speaking figure.,True,True,,sigmoid_s_v1,1.018502773018,0.0,0.733781281805,0.021686756312,0.447554182208,0.439423626587
